time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-07-08T09:13:07.460Z,-15.986,-71.748,123,6.2,mwc,467,32.8,,0.91,us,usp000gbn0,2020-09-21T15:38:29.317Z,"28 km E of Lluta, Peru",earthquake,,,,,reviewed,us,us
2013-07-17T02:37:43.180Z,-15.657,-71.74,7,6,mww,506,37,,1.19,us,usb000ifva,2020-07-10T18:11:43.919Z,"3 km ESE of Maca, Peru",earthquake,,,,,reviewed,us,us
1977-12-31T07:53:18.000Z,-15.3,-71.68,158,5.9,mb,,,,,us,usp0000sa7,2016-11-08T23:14:36.472Z,"25 km WNW of Tisco, Peru",earthquake,,,,,reviewed,us,us
1998-04-12T23:49:35.350Z,-15.525,-71.821,33,5.8,mwc,,,,1.06,us,usp0008k18,2020-09-15T20:07:24.024Z,,earthquake,,,,,reviewed,us,hrv
2006-11-27T17:31:48.040Z,-16.053,-71.802,115.7,5.7,mwc,252,85.7,,0.86,us,usp000eyze,2016-11-10T01:31:46.396Z,"23 km E of Lluta, Peru",earthquake,,,,,reviewed,us,gcmt
1984-09-12T19:17:52.070Z,-15.75,-71.872,139.9,5.5,mw,,,,1.1,us,usp00027aw,2016-11-09T23:28:00.120Z,"16 km SW of Maca, Peru",earthquake,,,,,reviewed,us,hrv
2016-08-15T02:59:00.840Z,-15.6542,-72.0092,20,5.5,mwb,,95,3.095,0.85,us,us10006du3,2020-07-10T15:05:50.837Z,"11 km SW of Tapay, Peru",earthquake,7.7,1.8,0.058,29,reviewed,us,us
2018-09-14T11:20:03.310Z,-15.9944,-71.4369,129.55,5.4,mww,,39,2.455,1.14,us,us2000hekx,2018-11-21T18:19:11.040Z,"2 km ESE of Pucara, Peru",earthquake,7.6,4.3,0.05,39,reviewed,us,us
2012-11-04T06:37:38.260Z,-15.874,-71.878,137.7,5.4,mb,499,36.7,,0.86,us,usp000jv0g,2015-03-24T02:22:50.793Z,"21 km NE of Lluta, Peru",earthquake,,,,297,reviewed,us,us
1998-01-29T03:13:39.780Z,-15.608,-72.098,134.1,5.4,mwc,,,,0.95,us,usp0008f4d,2016-11-09T21:46:32.354Z,"4 km SE of Choco, Peru",earthquake,,,,,reviewed,us,hrv
1994-12-26T19:57:00.760Z,-15.573,-71.757,10,5.4,mw,,,,1,us,usp0006qff,2016-11-10T00:17:53.066Z,"6 km NE of Madrigal, Peru",earthquake,,,,,reviewed,us,hrv
2013-02-22T21:01:47.230Z,-15.748,-71.425,7.9,5.3,mb,135,88.3,,1.25,us,usc000fbvq,2014-11-07T01:50:10.841Z,"4 km ENE of Huarancante, Peru",earthquake,,14.1,,75,reviewed,us,us
1991-07-23T19:44:50.240Z,-15.679,-71.574,5,5.3,mw,,,,1.3,us,usp0004uj3,2020-08-29T00:55:08.837Z,"5 km SSE of Chivay, Peru",earthquake,,,,,reviewed,us,hrv
2002-02-03T12:59:32.820Z,-15.646,-72.031,33,5.3,mwc,65,,,1.08,us,usp000axq1,2016-11-09T21:47:57.821Z,"12 km SW of Tapay, Peru",earthquake,,,,,reviewed,us,hrv
2002-12-13T16:31:11.950Z,-15.601,-71.935,11.5,5.3,mwc,74,,,0.89,us,usp000bkmj,2016-11-10T00:11:37.203Z,"2 km S of Tapay, Peru",earthquake,,,,,reviewed,us,hrv
2013-02-22T21:50:49.560Z,-15.826,-71.495,18.4,5.2,mb,220,78.3,,1.4,us,usc000fbyh,2014-11-07T01:50:10.852Z,"7 km SSW of Huarancante, Peru",earthquake,,16.6,,157,reviewed,us,us
2001-08-09T06:45:37.260Z,-15.618,-72.073,33,5.2,mwc,56,,,1.17,us,usp000am35,2016-11-09T23:11:39.529Z,"7 km SE of Choco, Peru",earthquake,,,,,reviewed,us,hrv
1979-03-07T06:21:11.100Z,-16.134,-72.039,126,5.1,mb,,,,,us,usp0000z6n,2014-11-06T23:21:58.030Z,"13 km SSW of Lluta, Peru",earthquake,,,,,reviewed,us,us
2017-04-30T13:29:10.010Z,-15.7425,-71.8941,10,5.1,mww,,100,3.005,0.67,us,us10008m7l,2017-07-29T03:16:08.040Z,"17 km SW of Maca, Peru",earthquake,7.9,1.8,0.066,22,reviewed,us,us
1984-04-08T22:35:07.750Z,-15.679,-71.897,118.1,5.1,mb,,,,1.2,us,usp00023bv,2014-11-07T00:34:45.064Z,"12 km SSE of Tapay, Peru",earthquake,,4.7,,5,reviewed,us,us
1981-05-22T03:08:14.080Z,-16.239,-71.563,125.8,5,mb,,,,1.1,us,usp0001dt6,2014-11-07T00:29:30.207Z,"8 km NE of Cono Norte, Peru",earthquake,,5,,2,reviewed,us,us
1995-10-05T08:18:37.940Z,-15.978,-72.355,111,5,mb,,,,0.9,us,usp00074hy,2014-11-07T00:58:53.932Z,"28 km SSE of Uñon, Peru",earthquake,,5.9,,41,reviewed,us,us
1996-09-22T02:21:33.300Z,-15.903,-71.727,139.7,5,mb,,,,0.85,us,usp0007qa0,2014-11-07T01:01:12.629Z,"28 km S of Ichupampa, Peru",earthquake,,,,36,reviewed,us,us
1992-02-01T17:22:44.910Z,-15.799,-71.719,10,5,mb,,,,1,us,usp00052ga,2014-11-07T00:50:00.043Z,"16 km SSW of Ichupampa, Peru",earthquake,,,,8,reviewed,us,us
2016-02-20T02:05:50.020Z,-15.72,-71.821,10,5,mb,,126,2.991,0.99,us,us10004r90,2016-11-10T22:13:02.573Z,"10 km SSW of Maca, Peru",earthquake,2.3,1.8,0.045,158,reviewed,us,us
2020-08-14T20:34:35.468Z,-15.7132,-72.1145,10,5,mww,,74,3.14,0.88,us,us6000beyh,2020-10-24T20:08:52.040Z,"2 km NNW of Huambo, Peru",earthquake,7.9,1.8,0.093,11,reviewed,us,us
2013-10-29T12:51:05.310Z,-15.4358,-71.7232,130.53,5,mb,,59,3.559,0.86,us,usc000kqmq,2014-01-10T10:03:35.000Z,"21 km NNE of Madrigal, Peru",earthquake,,4.5,0.035,,reviewed,us,us
2021-06-13T07:31:43.524Z,-16.0852,-71.4623,137.51,4.9,mb,,129,2.416,0.86,us,us7000ecmy,2021-08-26T21:59:14.040Z,"11 km S of Pucara, Peru",earthquake,7.9,5.6,0.025,516,reviewed,us,us
1982-08-03T00:49:52.020Z,-15.928,-71.322,78.7,4.9,mb,,,,1,us,usp0001ntm,2014-11-07T00:31:41.770Z,"15 km ENE of Pucara, Peru",earthquake,,6.6,,2,reviewed,us,us
2013-07-16T09:27:40.450Z,-15.847,-72.253,39.4,4.9,mb,127,131,,1.46,us,usb000if2u,2014-11-07T01:51:16.761Z,"18 km S of Ayo, Peru",earthquake,,7.1,,116,reviewed,us,us
2017-02-24T03:11:41.310Z,-15.8273,-71.6347,142.04,4.9,mb,,126,2.708,0.91,us,us20008lxn,2017-05-17T01:19:37.040Z,"19 km WSW of Huarancante, Peru",earthquake,7.5,5.5,0.058,94,reviewed,us,us
2019-05-21T13:37:39.241Z,-15.8258,-72.0107,8.33,4.9,mww,,147,2.992,0.7,us,us70003nxk,2019-08-13T14:30:46.040Z,"14 km SE of Huambo, Peru",earthquake,7.7,4.9,0.066,22,reviewed,us,us
2015-08-28T04:11:51.900Z,-15.823,-71.8124,9.28,4.9,mb,,91,2.897,0.98,us,us100035lv,2015-12-01T00:36:00.040Z,"20 km SSW of Maca, Peru",earthquake,7,3.1,0.032,307,reviewed,us,us
2015-10-01T19:42:47.180Z,-15.7239,-72.0935,30.24,4.9,mb,,123,3.12,1.03,us,us10003jkl,2016-11-10T21:54:43.635Z,"1 km ENE of Huambo, Peru",earthquake,8.9,4.7,0.04,193,reviewed,us,us
2013-06-16T16:26:13.190Z,-15.721,-71.871,9.9,4.9,mb,46,90,,0.78,us,usc000hs8b,2014-11-07T01:51:05.146Z,"14 km SW of Maca, Peru",earthquake,,1.7,,28,reviewed,us,us
2013-02-22T20:15:23.550Z,-15.696,-71.308,10,4.9,mb,109,87.5,,0.98,us,usc000fbuq,2014-11-07T01:50:10.830Z,"6 km S of Llongasora, Peru",earthquake,,,,64,reviewed,us,us
2007-02-19T00:16:57.350Z,-15.673,-71.751,135.4,4.9,mwc,101,43.9,,0.87,us,usp000f54a,2016-11-10T01:35:50.342Z,"3 km SSE of Maca, Peru",earthquake,,3,,,reviewed,us,gcmt
1976-10-23T05:43:14.500Z,-15.627,-71.655,136,4.9,mb,,,,,us,usp0000k07,2014-11-06T23:21:37.829Z,"4 km NE of Ichupampa, Peru",earthquake,,,,,reviewed,us,us
2012-11-03T13:56:19.850Z,-15.507,-71.576,113.8,4.9,mb,51,87,,0.87,us,usp000juza,2015-03-24T01:33:49.954Z,"4 km NW of Tuti, Peru",earthquake,,6.1,,16,reviewed,us,us
2015-11-22T14:38:15.640Z,-15.4027,-72.2418,109.52,4.9,mb,,110,3.466,0.74,us,us100040bu,2016-02-18T04:48:49.040Z,southern Peru,earthquake,7.8,2.9,0.045,154,reviewed,us,us
1978-10-11T22:44:28.700Z,-16.167,-71.489,175,4.8,mb,,,,,us,usp0000wz0,2014-11-06T23:21:52.823Z,"19 km NNE of Cono Norte, Peru",earthquake,,,,,reviewed,us,us
1987-10-22T21:12:21.950Z,-16.065,-71.853,33,4.8,mb,,,,0.8,us,usp00039gv,2014-11-07T00:41:06.256Z,"18 km ESE of Lluta, Peru",earthquake,,,,1,reviewed,us,us
1986-04-02T02:39:05.730Z,-16.028,-71.718,33,4.8,mb,,,,0.8,us,usp0002sjn,2014-11-07T00:38:09.372Z,"25 km N of Yura, Peru",earthquake,,,,1,reviewed,us,us
1980-11-05T19:24:25.300Z,-15.931,-72.275,129,4.8,mb,,,,,us,usp0001ap4,2014-11-06T23:24:27.089Z,"27 km S of Ayo, Peru",earthquake,,,,,reviewed,us,us
1982-08-28T11:58:51.250Z,-15.903,-71.522,151.2,4.8,mb,,,,1.2,us,usp0001p9x,2014-11-07T00:31:47.645Z,"10 km NW of Pucara, Peru",earthquake,,5.6,,1,reviewed,us,us
2016-02-22T20:29:35.000Z,-15.71,-71.8,6,4.8,mb,,,,0.87,us,us10004rtm,2016-11-10T22:13:36.672Z,"8 km SSW of Maca, Peru",earthquake,3.4,3.6,0.063,77,reviewed,lim,us
2015-02-28T20:10:24.000Z,-15.7,-71.99,12,4.8,mb,,,,1.1,us,usc000tu1j,2020-07-10T19:21:08.273Z,"13 km ENE of Huambo, Peru",earthquake,9.6,3.9,0.091,37,reviewed,lim,us
2021-04-26T19:54:14.233Z,-15.6443,-71.3953,130.11,4.8,mb,,124,2.892,1.1,us,us7000dxky,2021-07-07T18:35:40.040Z,"10 km W of Llongasora, Peru",earthquake,8.6,7.3,0.093,36,reviewed,us,us
2019-12-09T15:43:43.631Z,-15.6417,-71.6791,133.55,4.8,mb,,125,2.863,1.14,us,us60006p89,2020-02-29T19:52:43.040Z,"1 km NE of Ichupampa, Peru",earthquake,7.6,7,0.076,64,reviewed,us,us
1991-12-04T08:48:19.130Z,-15.501,-71.9,31.1,4.8,mb,,,,0.5,us,usp000500w,2014-11-07T00:49:41.754Z,"9 km NNE of Tapay, Peru",earthquake,,11.2,,1,reviewed,us,us
1998-11-30T18:16:26.210Z,-15.46,-71.962,53.4,4.8,mb,,,,1.18,us,usp0008yzs,2014-11-07T01:06:31.603Z,"13 km N of Tapay, Peru",earthquake,,12.3,,15,reviewed,us,us
2019-01-25T17:40:55.590Z,-15.3088,-71.6988,138.34,4.8,mb,,83,3.11,1.31,us,us2000j8wl,2019-04-12T17:15:04.040Z,"27 km W of Tisco, Peru",earthquake,8.1,5.5,0.051,118,reviewed,us,us
1993-01-28T15:06:54.920Z,-16.302,-71.747,127.2,4.7,mb,,,,1.2,us,usp0005mby,2014-11-07T00:52:17.030Z,"9 km SW of Yura, Peru",earthquake,,9.9,,9,reviewed,us,us
1987-10-02T02:35:15.160Z,-16.265,-71.669,134.2,4.7,mb,,,,1.2,us,usp00038wx,2014-11-07T00:41:01.603Z,"1 km SE of Yura, Peru",earthquake,,5.6,,20,reviewed,us,us
1995-09-03T07:31:41.230Z,-15.896,-72.159,122.5,4.7,mb,,,,0.9,us,usp00072ur,2014-11-07T00:58:40.370Z,"19 km SSW of Huambo, Peru",earthquake,,,,26,reviewed,us,us
2013-03-23T22:37:35.770Z,-15.894,-71.845,25.5,4.7,mb,65,91.3,,1.05,us,usb000frs6,2014-11-07T01:50:22.633Z,"22 km NE of Lluta, Peru",earthquake,,14.2,,30,reviewed,us,us
1986-03-18T10:02:30.990Z,-15.884,-72.229,122.4,4.7,mb,,,,1.3,us,usp0002ryb,2014-11-07T00:38:03.797Z,"21 km SW of Huambo, Peru",earthquake,,6.7,,8,reviewed,us,us
2013-05-11T02:19:12.080Z,-15.873,-72.165,84.6,4.7,mb,53,96,,0.9,us,usc000gtvt,2014-11-07T01:50:46.949Z,"16 km SSW of Huambo, Peru",earthquake,,6.6,,17,reviewed,us,us
2015-12-08T19:54:17.950Z,-15.8335,-72.2281,22.11,4.7,mb,,107,3.101,1.05,us,us20004fze,2016-03-02T03:36:39.040Z,"17 km SW of Huambo, Peru",earthquake,9,5.4,0.106,30,reviewed,us,us
2013-07-25T02:07:20.750Z,-15.825,-72.005,18.8,4.7,mb,57,63,,1.12,us,usc000ineu,2014-11-07T01:51:20.121Z,"15 km SE of Huambo, Peru",earthquake,,3.5,,55,reviewed,us,us
